2017-11-18 19:26:30,654 - INFO - args: (<__main__.Client object at 0x7fd90f2842b0>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53464), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:26:30,675 - INFO - args: (<__main__.Client object at 0x7fb944ab2780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53466), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:26:30,676 - INFO - args: (<__main__.Client object at 0x7fd0046d2780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53468), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,443 - INFO - args: (<__main__.Client object at 0x7ffb5ed50780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53480), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,445 - INFO - args: (<__main__.Client object at 0x7f9d814fe780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53482), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,447 - INFO - args: (<__main__.Client object at 0x7f9c27af0780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53484), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,452 - INFO - args: (<__main__.Client object at 0x7f0566949780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53486), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,453 - INFO - args: (<__main__.Client object at 0x7fedf4dc0780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53488), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,455 - INFO - args: (<__main__.Client object at 0x7f89983d0780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53490), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,468 - INFO - args: (<__main__.Client object at 0x7f28091a4780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53492), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,483 - INFO - args: (<__main__.Client object at 0x7f20d9502780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53494), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:37:38,483 - INFO - args: (<__main__.Client object at 0x7fd5bce98518>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53496), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:38:46,723 - INFO - args: (<__main__.Client object at 0x7fdbdc527780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53534), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:38:46,727 - INFO - args: (<__main__.Client object at 0x7fa67ada9780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53536), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:38:46,743 - INFO - args: (<__main__.Client object at 0x7f81c8d68780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53538), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:38:46,743 - INFO - args: (<__main__.Client object at 0x7fb58a59c780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53544), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:38:46,743 - INFO - args: (<__main__.Client object at 0x7ff5018ce780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53540), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-18 19:38:46,743 - INFO - args: (<__main__.Client object at 0x7ffbdd33d780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53542), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,305 - INFO - args: (<__main__.Client object at 0x7f9fd5d1b780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56956), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,306 - INFO - args: (<__main__.Client object at 0x7f565cd22780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56958), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,309 - INFO - args: (<__main__.Client object at 0x7f1b5c4d0780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56960), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,311 - INFO - args: (<__main__.Client object at 0x7fda0c7d4780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56962), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,317 - INFO - args: (<__main__.Client object at 0x7f4b00e68780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56964), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,328 - INFO - args: (<__main__.Client object at 0x7f01a828f780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56966), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,338 - INFO - args: (<__main__.Client object at 0x7fa16474e780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56968), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,341 - INFO - args: (<__main__.Client object at 0x7fd4163ff780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56970), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,354 - INFO - args: (<__main__.Client object at 0x7f9eed433780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56972), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,358 - INFO - args: (<__main__.Client object at 0x7fe27281f780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56974), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,360 - INFO - args: (<__main__.Client object at 0x7fac645e5780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56976), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:21:28,365 - INFO - args: (<__main__.Client object at 0x7f3a4761b780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56978), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:22:06,626 - INFO - args: (<__main__.Client object at 0x7feefc572780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56982), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:22:06,626 - INFO - args: (<__main__.Client object at 0x7f4febee9780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56980), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:22:06,628 - INFO - args: (<__main__.Client object at 0x7f27e2404780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56986), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:22:06,628 - INFO - args: (<__main__.Client object at 0x7f1b466c7780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56990), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:22:06,628 - INFO - args: (<__main__.Client object at 0x7fcf97ca6780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56988), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:22:06,629 - INFO - args: (<__main__.Client object at 0x7fa5bd105780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56992), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:23:27,269 - INFO - args: (<__main__.Client object at 0x7f53a9373780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57012), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:23:27,271 - INFO - args: (<__main__.Client object at 0x7ff6fb868780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57014), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:23:27,295 - INFO - args: (<__main__.Client object at 0x7f3f79386780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57018), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:23:27,295 - INFO - args: (<__main__.Client object at 0x7f854a489780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57016), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:23:27,297 - INFO - args: (<__main__.Client object at 0x7f063d8d6780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57022), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:23:27,297 - INFO - args: (<__main__.Client object at 0x7f7f2eb52780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57024), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:24:05,495 - INFO - args: (<__main__.Client object at 0x7f786f5e8780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57028), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:24:05,495 - INFO - args: (<__main__.Client object at 0x7f56d62d8780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57030), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:24:05,504 - INFO - args: (<__main__.Client object at 0x7ffac3bdf780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57032), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:24:05,504 - INFO - args: (<__main__.Client object at 0x7fb058cb2780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57034), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:25:15,386 - INFO - args: (<__main__.Client object at 0x7fbbd5593780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57036), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:25:15,387 - INFO - args: (<__main__.Client object at 0x7f7c3573c780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57038), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:25:15,389 - INFO - args: (<__main__.Client object at 0x7f6f52ac6780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57040), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:25:57,975 - INFO - args: (<__main__.Client object at 0x7f8cf9c12fd0>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57044), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:51:25,042 - INFO - args: (<__main__.Client object at 0x7f76675b2780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57548), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:51:25,042 - INFO - args: (<__main__.Client object at 0x7f1446029358>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57546), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:51:25,042 - INFO - args: (<__main__.Client object at 0x7f16fb0d4780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57550), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:51:25,043 - INFO - args: (<__main__.Client object at 0x7ff2b03a8780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57558), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:51:25,045 - INFO - args: (<__main__.Client object at 0x7f2cd3962780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57560), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:51:25,047 - INFO - args: (<__main__.Client object at 0x7fc651a87780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57562), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:51:25,051 - INFO - args: (<__main__.Client object at 0x7fe10a1da780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57564), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 15:51:25,052 - INFO - args: (<__main__.Client object at 0x7f554c9dc780>,) = <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57566), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:15:03,681 - INFO - args: (<__main__.Client object at 0x7fef82af59e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57672), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:15:03,681 - INFO - args: (<__main__.Client object at 0x7fd9dd58b9e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57670), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-11-19 16:15:36,438 - INFO - args: (<__main__.Client object at 0x7fbe2acba9e8>,) = <socket.socket fd=4, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57676), raddr=('127.0.0.1', 7777)> - _connect - __main__
